START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
Real space primitive cell translation vectors (au)
  1.2579832998357839E+01 -1.0234729982748632E-02 -3.8984324971154563E-03
 -1.0517485867149410E-02  1.2394879682783621E+01 -7.9690069132037633E-02
  1.5647936266079165E-03 -8.3917705969756645E-02  1.4082289940125083E+01
Number of atoms in the primitive cell
 36
Positions of atoms (au)
  1  3.0370864293328430E+00  4.2905273078535933E+00  2.5301031651589394E+00
  1  9.5032177132674267E+00  8.0911748670490695E+00  9.5127271762937600E+00
  1  1.7994179049634742E+00  9.2078431876131450E+00  5.9245588978137604E+00
  1  3.1806121027294019E+00  1.0447910807283851E+01  1.1906730777700010E+00
  1  9.3005699677818097E+00  1.8157381318969195E+00  8.2291073388480633E+00
  1  8.0688715849873116E+00  9.3219831372533459E+00  4.7739448443616892E+00
  1  4.6058740228862440E+00  1.1202466438853211E+01  1.2778931311475112E+01
  1  7.9205141833986126E+00  9.2978543718626927E-01  5.7258266232419617E+00
  1  5.3045277750360587E+00  1.5861776241266896E+00  9.2798852132656560E+00
  1  7.2090761095000966E+00  1.0590284963390520E+01  2.2003955722457764E+00
  1  1.2455425866134346E+01  8.0620397223389109E+00  9.4178795076633435E+00
  1  1.7932990681547507E+00  6.2615012861036687E+00  5.9626834037993879E+00
  1  1.0810468366269058E+01  6.1149350949669703E+00  1.2944132070388635E+01
  1  2.4136111242659410E+00  1.4097186257830663E+00  1.0327384605230938E+01
  1  1.1175755606833285E+01  2.1967757889005948E+00  1.1904692627427576E+01
  1  4.8862440507600899E+00  3.8140661018049640E+00  1.2940735977942685E+01
  1  5.0373609042759879E+00  6.6830547612445832E+00  1.3988212849987066E+01
  1  7.5035139139137179E+00  5.4064803895083697E+00  6.9207545641450494E+00
  1  1.2198553192476254E+00  7.3866727734551052E-01  3.7789926704388295E+00
  1  5.4181391740204434E+00  7.5052990199266878E+00  7.3517488762941907E+00
  1  8.2955411513444724E-02  4.3801365678285142E+00  2.4539779865163269E+00
  1  8.6655566058399192E+00  4.7526556696287932E+00  3.3079376324035503E-01
  1  1.1713567904414194E+01  1.1007897021217905E+01  3.2779151821459114E+00
  1  1.1328502053860680E+01  1.1739510164134639E+01  1.0721575828810789E+01
  8  1.5189600372103862E+00  3.9848512126089100E+00  3.6150582472605457E+00
  8  1.1014189189545419E+01  8.4351962733245340E+00  1.0585051478395693E+01
  8  2.1379430406684006E+00  7.7499983499472371E+00  7.0767345890346656E+00
  8  1.0519967420210175E+01  4.7111571608819514E+00 -1.2212386967097710E-02
  8  4.6764249443451931E+00  1.0051942258565456E+01  1.1224402620550449E-01
  8  7.7872359506146509E+00  2.1551879116074377E+00  7.1506768458269931E+00
  8  4.2297206891268848E+00  1.4291849024259806E+00  1.0817893508619187E+01
  8  8.4456182479854771E+00  1.0760231203575351E+01  3.6101481434579554E+00
  8  5.3753337293961074E+00  4.9662115608384720E+00  3.3630772225357608E-01
  8  7.2811842013907322E+00  7.2601224940368887E+00  7.1825909426456498E+00
  8  9.8832482829393475E-01  1.1267593371218982E+01  3.5015636976135349E+00
  8  1.1664571245781827E+01  1.1599047641985794E+00  1.0407064393263887E+01
Energy cutoff used for G-vectors (au)
  3.0000000000000000E+01
Number of particle types (1=electrons,2=electrons/holes)
  1
Number of G-vectors
 17231
Primitive cell G-vectors (au)
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
 -1.4060732899760193E-04 -2.8688190864082524E-03 -4.4619347127423908E-01
  1.4060732899760193E-04  2.8688190864082524E-03  4.4619347127423908E-01
  4.9946525010375264E-01  4.2347301334599543E-04 -5.2975983268794897E-05
 -4.9946525010375264E-01 -4.2347301334599543E-04  5.2975983268794897E-05
 -4.1337161361773426E-04 -5.0693758607078188E-01 -3.0208433878660648E-03
  4.1337161361773426E-04  5.0693758607078188E-01  3.0208433878660648E-03
  4.9932464277475502E-01 -2.4453460730622569E-03 -4.4624644725750789E-01
 -4.9932464277475502E-01  2.4453460730622569E-03  4.4624644725750789E-01
 -4.9960585743275027E-01 -3.2922920997542479E-03 -4.4614049529097027E-01
  4.9960585743275027E-01  3.2922920997542479E-03  4.4614049529097027E-01
  2.7276428462013236E-04  5.0406876698437364E-01 -4.4317262788637302E-01
 -2.7276428462013236E-04 -5.0406876698437364E-01  4.4317262788637302E-01
 -5.5397894261533616E-04 -5.0980640515719011E-01 -4.4921431466210515E-01
  5.5397894261533616E-04  5.0980640515719011E-01  4.4921431466210515E-01
  4.9905187849013494E-01 -5.0651411305743588E-01 -3.0738193711348596E-03
 -4.9905187849013494E-01  5.0651411305743588E-01  3.0738193711348596E-03
 -4.9987862171737035E-01 -5.0736105908412787E-01 -2.9678674045972701E-03
  4.9987862171737035E-01  5.0736105908412787E-01  2.9678674045972701E-03
 -4.9919248581913250E-01  5.0364529397102764E-01 -4.4311965190310421E-01
  4.9919248581913250E-01 -5.0364529397102764E-01  4.4311965190310421E-01
  4.9973801438837279E-01  5.0449223999771964E-01 -4.4322560386964183E-01
 -4.9973801438837279E-01 -5.0449223999771964E-01  4.4322560386964183E-01
  4.9891127116113732E-01 -5.0938293214384411E-01 -4.4926729064537396E-01
 -4.9891127116113732E-01  5.0938293214384411E-01  4.4926729064537396E-01
 -5.0001922904636797E-01 -5.1022987817053611E-01 -4.4916133867883634E-01
  5.0001922904636797E-01  5.1022987817053611E-01  4.4916133867883634E-01
