START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
Real space primitive cell translation vectors (au)
  1.2821608508194199E+01  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  1.2821608508194199E+01  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  1.2865096775690297E+01
Number of atoms in the primitive cell
 36
Positions of atoms (au)
  1 -8.7571586110966382E-02  4.3594622872626019E+00  2.4464396679620424E+00
  1  1.4614197593724829E+00  2.1080262980492246E+00  3.6450678694563319E+00
  1  3.9653388633292197E+00  4.7484314245756893E+00  1.3673539457074675E+00
  1  2.0513419668344981E+00  6.3232326679861330E+00  5.6627138618846162E+00
  1  4.3027779560478745E+00  7.8722240134695829E+00  6.8613420633789053E+00
  1  1.6623728295214106E+00  1.0376143117426320E+01  4.5836281396300418E+00
  1  1.0770266541359701E+01  6.4983758402080660E+00 -7.6983452596053170E-01
  1  8.5188305521463246E+00  4.9493844947246162E+00  4.2879367553375758E-01
  1  1.1159235678672788E+01  2.4454653907678798E+00  1.1016176527475190E+01
  1  6.4983758402080660E+00  1.0770266541359701E+01  1.3634931301650827E+01
  1  4.9493844947246162E+00  8.5188305521463246E+00  1.2436303100156540E+01
  1  2.4454653907678798E+00  1.1159235678672788E+01  1.8489202482151068E+00
  1  6.3232326679861330E+00  2.0513419668344981E+00  7.2023829138056792E+00
  1  7.8722240134695829E+00  4.3027779560478745E+00  6.0037547123113901E+00
  1  1.0376143117426320E+01  1.6623728295214106E+00  8.2814686360602536E+00
  1  4.7484314245756893E+00  3.9653388633292197E+00 -1.3673539457074675E+00
  1  8.4621462209315972E+00  1.2909180094305164E+01  3.9861087198831058E+00
  1  1.0713582210144974E+01  1.1360188748821717E+01  2.7874805183888167E+00
  1  8.0731770836185106E+00  8.8562696448649785E+00  5.0651944421376802E+00
  1  1.2909180094305164E+01  8.4621462209315972E+00  8.8789880558071914E+00
  1  1.1360188748821717E+01  1.0713582210144974E+01  1.0077616257301479E+01
  1  8.8562696448649785E+00  8.0731770836185106E+00  7.7999023335526170E+00
  1  4.3594622872626019E+00 -8.7571586110966382E-02  1.0418657107728253E+01
  1  2.1080262980492246E+00  1.4614197593724829E+00  9.2200289062339653E+00
  8  1.4627916714828597E+00  3.9750832857954470E+00  3.4396894645292120E+00
  8  2.4357209683016521E+00  7.8735959255799592E+00  6.6559636584517863E+00
  8  1.0385887539892547E+01  4.9480125826142398E+00  2.2340240550986198E-01
  8  4.9480125826142398E+00  1.0385887539892547E+01  1.2641681505083659E+01
  8  7.8735959255799592E+00  2.4357209683016521E+00  6.2091331172385100E+00
  8  8.8465252223987516E+00  1.1358816836711339E+01  2.9928589233159366E+00
  8  1.1358816836711339E+01  8.8465252223987516E+00  9.8722378523743597E+00
  8  3.9750832857954470E+00  1.4627916714828597E+00  9.4254073111610843E+00
  8  5.1832121690885540E+00  5.1832121690885540E+00  0.0000000000000000E+00
  8  1.2275920850085453E+00  1.1594016423185654E+01  3.2162741939225743E+00
  8  1.1594016423185654E+01  1.2275920850085453E+00  9.6488225817677229E+00
  8  7.6383963391056460E+00  7.6383963391056460E+00  6.4325483878451486E+00
Energy cutoff used for G-vectors (au)
  3.0000000000000000E+01
Number of particle types (1=electrons,2=electrons/holes)
  1
Number of G-vectors
 16631
Primitive cell G-vectors (au)
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00 -4.8839005385891870E-01
  0.0000000000000000E+00  0.0000000000000000E+00  4.8839005385891870E-01
  4.9004657279654473E-01  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00 -4.9004657279654473E-01  0.0000000000000000E+00
  0.0000000000000000E+00  4.9004657279654473E-01  0.0000000000000000E+00
 -4.9004657279654473E-01  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00 -4.9004657279654473E-01 -4.8839005385891870E-01
  0.0000000000000000E+00  4.9004657279654473E-01 -4.8839005385891870E-01
 -4.9004657279654473E-01  0.0000000000000000E+00 -4.8839005385891870E-01
  4.9004657279654473E-01  0.0000000000000000E+00 -4.8839005385891870E-01
  0.0000000000000000E+00 -4.9004657279654473E-01  4.8839005385891870E-01
  0.0000000000000000E+00  4.9004657279654473E-01  4.8839005385891870E-01
 -4.9004657279654473E-01  0.0000000000000000E+00  4.8839005385891870E-01
  4.9004657279654473E-01  0.0000000000000000E+00  4.8839005385891870E-01
 -4.9004657279654473E-01 -4.9004657279654473E-01  0.0000000000000000E+00
  4.9004657279654473E-01 -4.9004657279654473E-01  0.0000000000000000E+00
 -4.9004657279654473E-01  4.9004657279654473E-01  0.0000000000000000E+00
  4.9004657279654473E-01  4.9004657279654473E-01  0.0000000000000000E+00
  4.9004657279654473E-01 -4.9004657279654473E-01 -4.8839005385891870E-01
 -4.9004657279654473E-01  4.9004657279654473E-01 -4.8839005385891870E-01
  4.9004657279654473E-01  4.9004657279654473E-01 -4.8839005385891870E-01
 -4.9004657279654473E-01 -4.9004657279654473E-01 -4.8839005385891870E-01
 -4.9004657279654473E-01 -4.9004657279654473E-01  4.8839005385891870E-01
  4.9004657279654473E-01 -4.9004657279654473E-01  4.8839005385891870E-01
 -4.9004657279654473E-01  4.9004657279654473E-01  4.8839005385891870E-01
  4.9004657279654473E-01  4.9004657279654473E-01  4.8839005385891870E-01
  0.0000000000000000E+00  0.0000000000000000E+00 -9.7678010771783741E-01
