START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
Real space primitive cell translation vectors (au)
  1.5813439929313946E+01  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  1.5414216386480526E+01  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  7.7316330589928519E+00
Number of atoms in the primitive cell
 36
Positions of atoms (au)
  1  8.4241199057041971E+00  1.2897521862843462E+01  3.7320979357411446E+00
  1  1.4508831135145546E+00  3.1540569570016448E+00  2.0228503521234771E+00
  1  1.2436890981847114E+01 -3.9851915045606745E-01  7.0133256896471208E+00
  1  1.1492417468628910E+01  7.2171981538287522E+00  2.4740220676479461E+00
  1  6.5080053894692247E+00  9.0398367562317556E+00  2.8115697037374558E+00
  1  1.3351919869916937E+01  5.0396780475598080E+00  3.0913543092432301E+00
  1  6.4558368511424185E+00  1.2260159429478881E+01  5.8886668816199021E+00
  1  1.3987145751877479E+00  6.3743796302487699E+00  6.6773862332338814E+00
  1 -5.1739994104722298E-01  2.5166945236370615E+00 -1.3371859375528139E-01
  1  1.2227742425342008E+01  8.1970182326517733E+00  6.3398385971443716E+00
  1  1.0368240024053982E+01  1.0374538338920718E+01  6.9571708387396551E+00
  1  1.6330839870361167E+01  1.0223802716877326E+01  3.9995351232517073E+00
  1  1.4414725354126199E+01 -1.3327285629914927E+00  4.9200633552553965E+00
  1  9.3054503532846500E+00  1.6746944949472017E+01  1.0542468257589703E+00
  1  1.4362556815799390E+01  1.0861165150241908E+01  1.8429661773729491E+00
  1  4.3210224606850351E+00  1.4924306347069015E+01  1.3917944618484803E+00
  1  2.4615200593970088E+00  1.2746786240800070E+01  7.7446222025319600E-01
  1  4.5301710171901419E+00  8.1056273436963302E+00  7.1830736934573092E-01
  1  1.1283268912123804E+01  1.5812735536936593E+01  3.1475091601506948E+00
  1  3.5856975039719372E+00  4.8991003941151051E-01  5.2576109913449063E+00
  1  5.4451999052599636E+00  2.6674301456804552E+00  4.6402787497496227E+00
  1  7.3893200236097503E+00  5.1904136696032008E+00  7.8653516527481333E+00
  1  3.3765489474668309E+00  7.3085890427841953E+00  4.5841238988421571E+00
  1  9.3576030781715271E+00  4.5530512362386171E+00  5.7087827068693748E+00
  8  1.0360965841686497E-01  3.9016618659623368E+00  9.6314499342485749E-01
  8  1.0124681422262688E+01  1.5229862358498218E+01  1.7939862819442292E+00
  8  3.8985980398532725E+00  1.3694143979913164E+01  3.9013820415677934E-02
  8  7.8031103062401082E+00  1.1512554520518187E+01  4.8289615229212837E+00
  8  4.0081219248037003E+00  1.7200724065673616E+00  3.9048303499121038E+00
  8  1.3595478471708230E+01  1.8435402798230707E-01  5.6598028114406551E+00
  8  1.1805318004510244E+01  9.4271805998076239E+00  7.6926192385771737E+00
  8  1.1914841889460673E+01  5.9870357866729007E+00  3.8268027090807477E+00
  8  1.5709830270897081E+01  1.1608770059202600E+01  2.9026715360715682E+00
  8  5.6887585070512579E+00  7.5227541652579548E+00  2.0718302475521964E+00
  8  2.2179614576057154E+00  7.8914622212225698E+00  5.9376467770486219E+00
  8  8.0103296230738383E+00  3.8054463272779255E+00  6.7684880655679942E+00
Energy cutoff used for G-vectors (au)
  3.0000000000000000E+01
Number of particle types (1=electrons,2=electrons/holes)
  1
Number of G-vectors
 14839
Primitive cell G-vectors (au)
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
 -3.9733197427412470E-01  0.0000000000000000E+00  0.0000000000000000E+00
  3.9733197427412470E-01  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  4.0762275224645422E-01  0.0000000000000000E+00
  0.0000000000000000E+00 -4.0762275224645422E-01  0.0000000000000000E+00
  3.9733197427412470E-01  4.0762275224645422E-01  0.0000000000000000E+00
 -3.9733197427412470E-01  4.0762275224645422E-01  0.0000000000000000E+00
  3.9733197427412470E-01 -4.0762275224645422E-01  0.0000000000000000E+00
 -3.9733197427412470E-01 -4.0762275224645422E-01  0.0000000000000000E+00
  7.9466394854824940E-01  0.0000000000000000E+00  0.0000000000000000E+00
 -7.9466394854824940E-01  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  8.1265953249960021E-01
  0.0000000000000000E+00  0.0000000000000000E+00 -8.1265953249960021E-01
  0.0000000000000000E+00 -8.1524550449290845E-01  0.0000000000000000E+00
  0.0000000000000000E+00  8.1524550449290845E-01  0.0000000000000000E+00
 -7.9466394854824940E-01 -4.0762275224645422E-01  0.0000000000000000E+00
  7.9466394854824940E-01 -4.0762275224645422E-01  0.0000000000000000E+00
 -7.9466394854824940E-01  4.0762275224645422E-01  0.0000000000000000E+00
  7.9466394854824940E-01  4.0762275224645422E-01  0.0000000000000000E+00
 -3.9733197427412470E-01  0.0000000000000000E+00  8.1265953249960021E-01
  3.9733197427412470E-01  0.0000000000000000E+00 -8.1265953249960021E-01
 -3.9733197427412470E-01  0.0000000000000000E+00 -8.1265953249960021E-01
  3.9733197427412470E-01  0.0000000000000000E+00  8.1265953249960021E-01
 -3.9733197427412470E-01 -8.1524550449290845E-01  0.0000000000000000E+00
  3.9733197427412470E-01 -8.1524550449290845E-01  0.0000000000000000E+00
 -3.9733197427412470E-01  8.1524550449290845E-01  0.0000000000000000E+00
  3.9733197427412470E-01  8.1524550449290845E-01  0.0000000000000000E+00
  0.0000000000000000E+00 -4.0762275224645422E-01  8.1265953249960021E-01
