START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
Real space primitive cell translation vectors (au)
  1.1826781082797881E+01  0.0000000000000000E+00  2.0635809371111224E-03
  1.6546442019546692E-02  1.1848586632645247E+01 -1.2409831514660019E-02
  0.0000000000000000E+00  0.0000000000000000E+00  1.0988016690085923E+01
Number of atoms in the primitive cell
 30
Positions of atoms (au)
  1  2.9265243449172713E+00  4.3270445953088812E+00  3.8548481615040369E+00
  1  2.9675276400134738E+00  1.4220910648233480E+00  3.8076723550789682E+00
  1  3.0209001464168672E+00  7.9842530425144291E+00  6.8697821072819671E+00
  1  8.0466293636336825E+00  2.9774905778505878E+00  9.5893948801008388E+00
  1  4.3701581003817669E+00  5.4094366813742898E+00  7.6905200569212600E+00
  1  4.4586722378231824E+00  1.2321878425686261E+01  7.6956115127025440E+00
  1  1.5650473848443263E+00  1.2244364971935497E+01  7.7340194772181645E+00
  1  1.2313460848075792E+01  4.2823398779439108E+00  8.5348018364208666E+00
  1  5.4310339398285086E+00  2.9377622668713279E+00  1.1115358483557248E+01
  1  1.2405629188441312E+01  2.8950362634740090E+00  1.1125388634568743E+01
  1  6.4122935849889187E+00  8.9108243657739195E+00 -1.3768804404887378E-01
  1 -5.6230166362388390E-01  8.9535503691712393E+00 -1.4771819506037051E-01
  1  8.9168031799001568E+00  7.5215420373363662E+00  7.1228222780043362E+00
  1  8.8757998848039552E+00  1.0426495567821901E+01  7.1699980844294053E+00
  1  8.8224273784005618E+00  3.8643335901308196E+00  4.1078883322264055E+00
  1  3.7966981611837451E+00  8.8710960547946609E+00  1.3882755594075347E+00
  1  7.4731694244356621E+00  6.4391499512709576E+00  3.2871613706038039E+00
  1  7.3846552869942466E+00 -4.7329179304101449E-01  3.2820589268058296E+00
  1  1.0278280139973100E+01 -3.9577833929024925E-01  3.2436509622902081E+00
  1 -4.7013332325836182E-01  7.5662467547013366E+00  2.4428686030875073E+00
  8  3.0212071923503703E+00  1.1439253510247251E+01  6.8809195681784860E+00
  8  1.1493467509288221E+01  2.8968017028822732E+00  9.4898591276780433E+00
  8  2.9745562398900818E+00  2.8897162480759513E+00  2.6528668123246315E+00
  8  2.8979805025865581E+00  6.1182902252589244E+00  6.7844925878934470E+00
  8  6.1832564979478084E+00  2.9658908115372271E+00  9.4080982809925207E+00
  8  8.8687712849273446E+00  8.9588703845692965E+00  8.3248036271837407E+00
  8  8.9453470222308695E+00  5.7302964073863230E+00  4.1931888396316159E+00
  8  5.6600710268696197E+00  8.8826958211080207E+00  1.5695721585158526E+00
  8  3.4986001552920737E-01  8.9517849297629741E+00  1.4878222998470201E+00
  8  8.8221203324670583E+00  4.0933312239799541E-01  4.0967618593465769E+00
Energy cutoff used for G-vectors (au)
  3.0000000000000000E+01
Number of particle types (1=electrons,2=electrons/holes)
  1
Number of G-vectors
 12103
Primitive cell G-vectors (au)
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00 -5.3028985667101780E-01  0.0000000000000000E+00
  0.0000000000000000E+00  5.3028985667101780E-01  0.0000000000000000E+00
  5.3126757510701828E-01 -7.4191027174107000E-04  0.0000000000000000E+00
 -5.3126757510701828E-01  7.4191027174107000E-04  0.0000000000000000E+00
  9.9773568917606135E-05 -5.9904703030287090E-04 -5.7182160205932975E-01
 -9.9773568917606135E-05  5.9904703030287090E-04  5.7182160205932975E-01
 -5.3126757510701828E-01 -5.2954794639927671E-01  0.0000000000000000E+00
  5.3126757510701828E-01  5.2954794639927671E-01  0.0000000000000000E+00
  5.3126757510701828E-01 -5.3103176694275889E-01  0.0000000000000000E+00
 -5.3126757510701828E-01  5.3103176694275889E-01  0.0000000000000000E+00
  9.9773568917606135E-05  5.2969080964071491E-01 -5.7182160205932975E-01
 -9.9773568917606135E-05 -5.2969080964071491E-01  5.7182160205932975E-01
  9.9773568917606135E-05 -5.3088890370132069E-01 -5.7182160205932975E-01
 -9.9773568917606135E-05  5.3088890370132069E-01  5.7182160205932975E-01
 -5.3116780153810061E-01  1.4286324143819910E-04 -5.7182160205932975E-01
  5.3116780153810061E-01 -1.4286324143819910E-04  5.7182160205932975E-01
  5.3136734867593594E-01 -1.3409573020439409E-03 -5.7182160205932975E-01
 -5.3136734867593594E-01  1.3409573020439409E-03  5.7182160205932975E-01
  5.3136734867593594E-01  5.2894889936897382E-01 -5.7182160205932975E-01
 -5.3136734867593594E-01 -5.2894889936897382E-01  5.7182160205932975E-01
 -5.3116780153810061E-01 -5.3014699342957960E-01 -5.7182160205932975E-01
  5.3116780153810061E-01  5.3014699342957960E-01  5.7182160205932975E-01
  5.3116780153810061E-01 -5.3043271991245600E-01  5.7182160205932975E-01
 -5.3116780153810061E-01  5.3043271991245600E-01 -5.7182160205932975E-01
  5.3136734867593594E-01 -5.3163081397306178E-01 -5.7182160205932975E-01
 -5.3136734867593594E-01  5.3163081397306178E-01  5.7182160205932975E-01
  0.0000000000000000E+00 -1.0605797133420356E+00  0.0000000000000000E+00
  0.0000000000000000E+00  1.0605797133420356E+00  0.0000000000000000E+00
 -1.0625351502140366E+00  1.4838205434821400E-03  0.0000000000000000E+00
  1.0625351502140366E+00 -1.4838205434821400E-03  0.0000000000000000E+00
 -1.9954713783521227E-04  1.1980940606057418E-03  1.1436432041186595E+00
  1.9954713783521227E-04 -1.1980940606057418E-03 -1.1436432041186595E+00
  5.3126757510701828E-01  1.0598378030702946E+00  0.0000000000000000E+00
